insurance_type,postal_code,address,city,province,country,unit_apt,name,date_of_birth,move_in_year,occupants,active_home_insurance,ever_insured,num_claims,num_cancellations,multiline_discount,has_monitored_fire_alarm,has_deadbolt_locks,has_monitored_burglar_alarm,has_sprinkler_system,occupants_non_smokers,num_fire_extinguishers,num_mortgages,email,phone,nearest_firehall,nearest_firehydrant,primary_heating,cancellation_month,cancellation_year,claim_month_zero,claim_year_zero,claim_type_zero,claim_month_one,claim_year_one,claim_type_one
H,M8S 8K7,3013 Frank Loop,Leehaven,ON,CANADA,,Sean Wright,1998-11-08,2021,2,FALSE,TRUE,2,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,2,0,bigballs@gmail.com,8554654009,13,300,geothermal,1,2022,11,2021,Personal Property Claim,6,2021,Sewer Backup Claim
H,N4E 9T6,5815 Daniel Island,West Matthew,ON,CANADA,113,Sue Marsh,1955-01-22,2009,3,FALSE,FALSE,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,bigballs@gmail.com,2897308160,16,150,oil,1,2022,1,2023,Personal Property Claim,2,2024,Liability Claim
H,P2K6A1,5397 Parker Manors,New Brandonfurt,ON,CANADA,,Elizabeth Strickland,1948-08-04,2019,3,FALSE,FALSE,0,2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,2,bigballs@gmail.com,7818397978,5,301,geothermal,1,2022,5,2025,Fire Claim,1,2024,Personal Property Claim
H,P9G 7M1,01435 Alexandra Vista,Christineton,ON,CANADA,,Tammy Bean,1977-08-08,2022,1,FALSE,TRUE,2,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1,0,bigballs@gmail.com,8554654009,13,300,geothermal,1,2022,10,2022,Wind/Hail Claim,12,2024,Water Damage Claim
H,K6Y9X7,317 Debra Landing Apt. 742,Port Michellefurt,ON,CANADA,,Madeline Morales,1964-11-09,2019,1,FALSE,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,2,bigballs@gmail.com,2897308160,5,150,water,1,2022,12,2021,Sewer Backup Claim,3,2024,Liability Claim
H,L4N2Y8,19544 Lucas Camp,North Stevenbury,ON,CANADA,,Robert Harding,1969-06-14,2019,3,FALSE,TRUE,1,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,2,bigballs@gmail.com,8554654009,8,150,geothermal,1,2022,5,2021,Other Type of Claim,3,2022,Fire Claim
H,K6C1N8,6577 Theodore Cliffs Apt. 952,Racheltown,ON,CANADA,,Brett Ramirez Jr.,1974-01-18,2011,3,FALSE,FALSE,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,2,0,bigballs@gmail.com,8554654009,5,301,radiant,1,2022,5,2023,Wind/Hail Claim,2,2024,Fire Claim
H,K6R9J5,30677 Rojas Burgs Apt. 280,Kleinmouth,ON,CANADA,,Mckenzie Charles,1964-11-18,2024,2,FALSE,TRUE,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,bigballs@gmail.com,2897308160,13,150,radiant,1,2022,9,2024,Liability Claim,11,2022,Personal Property Claim
H,K9P 2X9,1834 Joann Ridges,Port Emilyside,ON,CANADA,,Matthew Wright,1986-10-08,2021,3,FALSE,FALSE,2,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,bigballs@gmail.com,8554654009,16,300,wood,1,2022,10,2022,Water Damage Claim,5,2022,Water Damage Claim
H,N7E2P6,2968 Martin Well,New Barbara,ON,CANADA,487,Erin Smith,1997-02-19,2011,3,FALSE,TRUE,1,2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,bigballs@gmail.com,2897308160,13,301,water,1,2022,11,2021,Fire Claim,8,2022,Liability Claim
H,N6C5X7,4186 Gay Centers,North Jenniferville,ON,CANADA,,Jacob Clark,1948-04-14,2024,3,FALSE,FALSE,2,2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,2,2,bigballs@gmail.com,8554654009,16,301,water,1,2022,9,2025,Wind/Hail Claim,9,2021,Other Type of Claim
H,M2T9L9,52392 Kelly Pike Apt. 550,Joshuamouth,ON,CANADA,591,Linda Patel,1958-11-16,2019,3,FALSE,TRUE,0,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,1,bigballs@gmail.com,7818397978,16,301,naturalgas,1,2022,6,2025,Personal Property Claim,9,2022,Fire Claim
H,N5C 6T6,545 Daniel Fort Apt. 319,Garzastad,ON,CANADA,754,Mark Alexander,1988-02-04,2017,3,FALSE,FALSE,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2,1,bigballs@gmail.com,7818397978,16,301,radiant,1,2022,9,2024,Wind/Hail Claim,4,2023,Water Damage Claim
H,K6C 7C4,5560 Hester Fall,Robbinston,ON,CANADA,,Benjamin Jones,2001-11-08,2013,1,FALSE,TRUE,2,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2,1,bigballs@gmail.com,2897308160,8,300,electric,1,2022,12,2023,Wind/Hail Claim,4,2022,Other Type of Claim
H,P3T9P3,338 Davis Forks,New Jamiebury,ON,CANADA,,Laurie Smith,1970-01-28,2017,3,FALSE,FALSE,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,0,bigballs@gmail.com,7818397978,16,150,geothermal,1,2022,4,2023,Fire Claim,12,2023,Fire Claim
H,N6J5G2,158 Hudson Turnpike,North Jason,ON,CANADA,,Paul Miller,1975-12-01,2014,2,FALSE,TRUE,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,2,2,bigballs@gmail.com,8554654009,13,150,water,1,2022,5,2024,Other Type of Claim,2,2022,Liability Claim
H,K6T 1E6,93152 Gloria Way,Lake Michael,ON,CANADA,,Steven Nelson Jr.,1989-11-03,2019,2,FALSE,TRUE,0,1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,2,bigballs@gmail.com,2897308160,16,301,electric,1,2022,10,2023,Water Damage Claim,2,2022,Fire Claim
H,N2T 8G8,17499 Mills Shores,Lake Johnton,ON,CANADA,,Eric Hayden,1957-06-07,2010,3,FALSE,TRUE,2,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,bigballs@gmail.com,8554654009,8,300,naturalgas,1,2022,11,2022,Wind/Hail Claim,7,2025,Wind/Hail Claim
H,N3Y 8Y7,3263 Hill Streets,East Vincentchester,ON,CANADA,,William Acevedo,1971-01-05,2019,1,FALSE,TRUE,2,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,bigballs@gmail.com,7818397978,5,150,water,1,2022,11,2021,Water Damage Claim,12,2023,Wind/Hail Claim
H,N4T 1B6,07091 Hoffman Mountains,North Robert,ON,CANADA,,Arthur Gregory,1962-10-09,2013,3,FALSE,FALSE,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,bigballs@gmail.com,7818397978,8,300,none,1,2022,3,2025,Liability Claim,1,2022,Water Damage Claim
H,K5R5Y2,17707 Nicole Mountains,West Brandon,ON,CANADA,30,Angela Taylor,1976-05-20,2020,1,FALSE,FALSE,0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,1,2,bigballs@gmail.com,7818397978,5,301,radiant,1,2022,3,2022,Sewer Backup Claim,9,2021,Sewer Backup Claim
H,M1X 2M5,21398 Sean Shoal Suite 876,West Bradleymouth,ON,CANADA,510,John Hunter,1980-09-04,2013,2,FALSE,TRUE,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,bigballs@gmail.com,7818397978,8,301,naturalgas,1,2022,12,2024,Water Damage Claim,1,2022,Other Type of Claim
H,N3G 7V9,259 Atkins Alley Apt. 693,Nicholsburgh,ON,CANADA,,Patrick Ford,1983-06-17,2024,2,FALSE,TRUE,0,2,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,0,bigballs@gmail.com,2897308160,16,300,geothermal,1,2022,7,2025,Other Type of Claim,2,2023,Other Type of Claim
H,K4L4T6,66548 James Fork Apt. 707,Lake David,ON,CANADA,657,Tracy Finley,1966-01-25,2021,2,FALSE,TRUE,2,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0,1,bigballs@gmail.com,8554654009,8,301,naturalgas,1,2022,6,2024,Fire Claim,9,2022,Wind/Hail Claim
H,M1T4K8,67523 Simmons Mountains Apt. 050,Amandafurt,ON,CANADA,,Molly Haley,1979-01-25,2010,3,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,2,bigballs@gmail.com,2897308160,13,150,wood,1,2022,9,2024,Sewer Backup Claim,10,2021,Wind/Hail Claim
H,P1T7K7,383 Salazar Forks,West Linda,ON,CANADA,396,Amy Wyatt,1984-11-20,2012,2,FALSE,TRUE,2,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,bigballs@gmail.com,2897308160,8,300,electric,1,2022,12,2024,Water Damage Claim,8,2022,Fire Claim
H,N4Y1N5,128 Williamson Shore Apt. 969,Zoetown,ON,CANADA,,Samuel Hood,1966-02-03,2009,3,FALSE,TRUE,0,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,3,3,bigballs@gmail.com,2897308160,8,300,electric,1,2022,11,2024,Fire Claim,1,2025,Liability Claim
H,M8T7T6,270 Jason Track,South Amandahaven,ON,CANADA,,Sean Medina,2004-10-10,2023,3,FALSE,FALSE,2,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,3,bigballs@gmail.com,2897308160,16,301,none,1,2022,9,2025,Wind/Hail Claim,11,2021,Water Damage Claim
H,N7A 4J3,1353 Jessica Ramp,South Randy,ON,CANADA,729,Sylvia Jones,1975-06-06,2015,3,FALSE,FALSE,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0,0,bigballs@gmail.com,2897308160,13,150,naturalgas,1,2022,6,2024,Sewer Backup Claim,1,2022,Other Type of Claim
H,N8T4V6,657 Burke Point Suite 684,North Samantha,ON,CANADA,495,Elizabeth Rodriguez,1985-12-15,2017,3,FALSE,TRUE,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,2,3,bigballs@gmail.com,7818397978,5,150,water,1,2022,3,2025,Other Type of Claim,7,2025,Sewer Backup Claim
H,L5S 7V9,2499 Williams Parks Apt. 664,Stephanieton,ON,CANADA,,Melanie Morris,2005-05-10,2021,1,FALSE,TRUE,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,3,bigballs@gmail.com,8554654009,13,300,wood,1,2022,7,2025,Wind/Hail Claim,8,2022,Liability Claim
H,M8M4V6,20382 Jackson Prairie Apt. 341,South Markshire,ON,CANADA,,Nicholas Nelson,1945-08-19,2013,1,FALSE,FALSE,1,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,bigballs@gmail.com,8554654009,13,300,wood,1,2022,2,2024,Personal Property Claim,3,2023,Fire Claim
H,K8S8J1,24544 Smith Parkway,North Kimberlyfort,ON,CANADA,654,Matthew Peters,1972-07-10,2010,3,FALSE,TRUE,2,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2,1,bigballs@gmail.com,7818397978,13,300,water,1,2022,11,2024,Personal Property Claim,9,2023,Other Type of Claim
H,K8M3T3,2271 Watson Way Apt. 558,Jacksonchester,ON,CANADA,,Michael Tanner,1978-06-08,2020,2,FALSE,TRUE,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,bigballs@gmail.com,2897308160,13,150,wood,1,2022,4,2021,Other Type of Claim,11,2022,Personal Property Claim
H,M6S5C8,358 Keith Highway Apt. 384,North Benjaminstad,ON,CANADA,,Leslie Hawkins,1995-01-13,2020,2,FALSE,TRUE,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0,1,bigballs@gmail.com,8554654009,8,300,radiant,1,2022,11,2023,Sewer Backup Claim,3,2024,Liability Claim
H,K8S 4E7,003 Williams Greens,Pooleview,ON,CANADA,,David Owens,1990-01-29,2013,2,FALSE,FALSE,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2,3,bigballs@gmail.com,8554654009,5,301,water,1,2022,6,2024,Wind/Hail Claim,4,2023,Water Damage Claim
H,M9J3L2,026 Lisa Trace,South Oscarhaven,ON,CANADA,4,Richard Garcia,1975-12-09,2013,1,FALSE,TRUE,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0,3,bigballs@gmail.com,8554654009,5,150,geothermal,1,2022,8,2022,Personal Property Claim,6,2021,Wind/Hail Claim
H,K9Y 9B7,19764 Perkins Underpass Apt. 215,Patrickberg,ON,CANADA,413,Renee Lopez,1962-02-26,2018,2,FALSE,FALSE,2,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0,1,bigballs@gmail.com,8554654009,13,150,none,1,2022,9,2022,Wind/Hail Claim,10,2025,Other Type of Claim
H,K8E6N4,29880 Henderson Stream Suite 700,Mullenmouth,ON,CANADA,,Ashley Whitaker,1976-11-26,2022,2,FALSE,TRUE,2,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,3,0,bigballs@gmail.com,8554654009,13,300,oil,1,2022,5,2021,Water Damage Claim,8,2022,Personal Property Claim
H,N3E9Y4,96429 Suzanne Trail,West Lisa,ON,CANADA,,Brittany Cobb,1990-06-13,2021,3,FALSE,TRUE,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2,1,bigballs@gmail.com,7818397978,16,301,naturalgas,1,2022,9,2023,Fire Claim,3,2022,Personal Property Claim
H,N4N 8L8,062 Brian Courts Apt. 737,North Anthony,ON,CANADA,682,Jeffrey Fox,1961-02-22,2020,3,FALSE,FALSE,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2,3,bigballs@gmail.com,2897308160,16,300,wood,1,2022,3,2021,Fire Claim,5,2021,Fire Claim
H,L2E4C4,0989 Simmons Creek,New Shane,ON,CANADA,763,Stephanie Long MD,1978-10-06,2014,1,FALSE,FALSE,2,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,bigballs@gmail.com,8554654009,8,150,water,1,2022,4,2021,Wind/Hail Claim,2,2025,Other Type of Claim
H,P1A 1Y7,0957 Dominguez Walk,New Tarastad,ON,CANADA,,Raymond Knapp,1962-09-06,2020,1,FALSE,FALSE,0,2,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,3,3,bigballs@gmail.com,8554654009,8,150,unknown,1,2022,5,2023,Personal Property Claim,8,2021,Water Damage Claim
H,L2H 8P6,33432 Catherine Villages,Port Brianmouth,ON,CANADA,,Alexander Pope,1985-04-21,2014,3,FALSE,FALSE,0,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,2,bigballs@gmail.com,7818397978,13,150,none,1,2022,8,2025,Other Type of Claim,10,2021,Water Damage Claim
H,M6P5Y6,99593 Brown Row,Port Kylemouth,ON,CANADA,,Matthew Brown,1990-03-13,2009,2,FALSE,FALSE,2,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,1,bigballs@gmail.com,2897308160,16,150,naturalgas,1,2022,8,2022,Other Type of Claim,11,2023,Sewer Backup Claim
H,N8Y2C3,82170 Guerrero Expressway,East Rebecca,ON,CANADA,881,Erica Buckley,1962-09-18,2023,3,FALSE,TRUE,1,2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,3,1,bigballs@gmail.com,7818397978,8,300,geothermal,1,2022,4,2021,Fire Claim,4,2022,Wind/Hail Claim
H,P2B3P3,64210 Bonilla Heights,Ruizfurt,ON,CANADA,,Stephanie Rogers,1946-08-14,2017,1,FALSE,FALSE,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3,0,bigballs@gmail.com,7818397978,8,150,wood,1,2022,9,2024,Water Damage Claim,7,2025,Fire Claim
H,K8L 1L1,028 Jennings Ports Apt. 466,Jenniferberg,ON,CANADA,856,Jessica Mcclain,1953-02-21,2017,1,FALSE,TRUE,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,0,bigballs@gmail.com,7818397978,8,300,oil,1,2022,2,2025,Liability Claim,4,2021,Personal Property Claim
H,K4R1M3,4234 Edward Ramp,North Kristopherport,ON,CANADA,877,Kevin Romero,1964-08-15,2016,2,FALSE,FALSE,1,2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,2,3,bigballs@gmail.com,7818397978,13,300,oil,1,2022,10,2023,Personal Property Claim,8,2021,Water Damage Claim
H,K5L 2G4,67292 Hardy Club Suite 145,Guerraville,ON,CANADA,617,Christopher Hernandez,1981-05-07,2024,3,FALSE,TRUE,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,bigballs@gmail.com,7818397978,13,301,naturalgas,1,2022,5,2023,Personal Property Claim,8,2021,Water Damage Claim
H,M4R 4V5,3098 Michelle Loaf Suite 396,Charlesburgh,ON,CANADA,,Antonio Cameron,1967-06-10,2024,1,FALSE,FALSE,2,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2,1,bigballs@gmail.com,7818397978,5,301,wood,1,2022,2,2021,Liability Claim,12,2022,Sewer Backup Claim
H,K5C6T8,07020 Owens Fork Suite 286,South Troy,ON,CANADA,,Kathryn Martinez,1950-10-19,2018,3,FALSE,FALSE,2,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0,2,bigballs@gmail.com,7818397978,5,150,water,1,2022,4,2021,Wind/Hail Claim,10,2025,Other Type of Claim
H,K7R5P7,940 Hughes Trace,Richardsstad,ON,CANADA,,Nicole Vincent,1981-04-27,2011,2,FALSE,FALSE,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,bigballs@gmail.com,8554654009,13,150,water,1,2022,2,2023,Other Type of Claim,2,2022,Wind/Hail Claim
H,P2X2K9,5533 Rhodes Land Suite 368,Janicemouth,ON,CANADA,,Melissa Porter,1975-06-26,2012,2,FALSE,TRUE,0,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,3,bigballs@gmail.com,8554654009,13,300,geothermal,1,2022,4,2021,Water Damage Claim,3,2021,Wind/Hail Claim
H,M9V2N7,2602 Glenn Pass,Shortfurt,ON,CANADA,906,Douglas Foster,1975-04-13,2014,3,FALSE,FALSE,2,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,3,1,bigballs@gmail.com,2897308160,8,150,geothermal,1,2022,5,2022,Liability Claim,11,2023,Fire Claim
H,P8Y 3P4,7982 Lopez Trail Apt. 104,East Brentside,ON,CANADA,315,Roberto Brown,1981-05-02,2023,1,FALSE,TRUE,2,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,1,bigballs@gmail.com,8554654009,13,150,geothermal,1,2022,12,2023,Other Type of Claim,7,2022,Other Type of Claim
H,N5K 5C7,892 Chelsea Brooks,South Jennifermouth,ON,CANADA,,Joseph Lyons,1980-09-25,2017,3,FALSE,TRUE,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,2,3,bigballs@gmail.com,2897308160,13,150,naturalgas,1,2022,1,2022,Water Damage Claim,5,2021,Water Damage Claim
H,N7R3B4,752 Gomez Meadows Suite 887,West Teresa,ON,CANADA,,Zachary Rice,1964-02-18,2015,2,FALSE,TRUE,1,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,2,bigballs@gmail.com,7818397978,5,150,radiant,1,2022,2,2022,Other Type of Claim,1,2025,Fire Claim
H,K5J 1L7,8533 Maxwell Common Apt. 344,Millermouth,ON,CANADA,463,Michelle Wagner,1994-01-22,2023,2,FALSE,FALSE,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,3,bigballs@gmail.com,8554654009,16,150,water,1,2022,9,2022,Sewer Backup Claim,11,2025,Personal Property Claim
H,M3H8J4,38792 Cassandra Landing,Gabrielleshire,ON,CANADA,652,Jade Williams,1993-01-26,2021,1,FALSE,FALSE,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3,2,bigballs@gmail.com,2897308160,8,300,none,1,2022,5,2021,Other Type of Claim,9,2024,Water Damage Claim
H,N2A 3B3,5057 Howard Mission Apt. 839,Curtishaven,ON,CANADA,740,Logan Harvey,2003-08-31,2019,2,FALSE,TRUE,0,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,2,bigballs@gmail.com,8554654009,13,150,wood,1,2022,3,2024,Fire Claim,9,2022,Wind/Hail Claim
